,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomeBand,AgeGroup,TenureGroup,RiskScore
11,29,0,Rarely,153,Research & Development,15,2,Life Sciences,15,4,Female,49,2,2,Laboratory Technician,3,Unknown,4193.0,12682.0,0,1,12,3,4,0,10,3,3,9,5,0,4,Medio,Entre 26 y 45,6-9,2
12,31,0,Rarely,670,Research & Development,26,1,Life Sciences,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911.0,15170.0,1,0,17,3,4,1,5,1,2,5,2,4,3,Medio,Entre 26 y 45,3-5,3
13,34,0,Rarely,1346,Research & Development,19,2,Medical,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661.0,8758.0,0,0,11,3,3,1,3,2,3,2,2,1,2,Medio,Entre 26 y 45,0-2,1
14,28,1,Rarely,103,Research & Development,24,3,Life Sciences,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028.0,12947.0,5,1,14,3,2,0,6,4,3,4,2,0,3,Medio,Entre 26 y 45,3-5,4
15,29,0,Rarely,1389,Research & Development,21,4,Life Sciences,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980.0,10195.0,1,0,11,3,3,1,10,3,3,10,9,8,8,Medio,Entre 26 y 45,10+,3
16,32,0,Rarely,334,Research & Development,5,2,Life Sciences,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298.0,15053.0,0,1,12,3,4,2,7,5,2,6,2,0,5,Medio,Entre 26 y 45,6-9,7
17,22,0,Non-Travel,1123,Research & Development,16,2,Medical,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935.0,7324.0,1,1,13,3,2,2,1,2,2,1,0,0,0,Medio,Menores 25,0-2,7
18,53,0,Rarely,1219,Sales,2,4,Life Sciences,23,1,Female,78,2,4,Manager,4,Married,15427.0,22021.0,2,0,16,3,3,0,31,3,3,25,8,3,7,Alto,A partir de 45,10+,1
19,38,0,Rarely,371,Research & Development,2,3,Life Sciences,24,4,Male,45,3,1,Research Scientist,4,Single,3944.0,4306.0,5,1,11,3,3,0,6,3,3,3,2,1,2,Medio,Entre 26 y 45,3-5,2
20,24,0,Non-Travel,673,Research & Development,11,2,Other,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011.0,8232.0,0,0,18,3,4,1,5,5,2,4,2,1,3,Medio,Menores 25,3-5,3
21,36,1,Rarely,1218,Sales,9,4,Life Sciences,27,3,Male,82,2,1,Sales Representative,1,Single,3407.0,6986.0,7,0,23,4,2,0,10,3,3,5,3,0,3,Medio,Entre 26 y 45,3-5,4
22,34,0,Rarely,419,Research & Development,7,4,Life Sciences,28,1,Female,53,3,3,Research Director,2,Single,11994.0,21293.0,0,0,11,3,3,0,13,4,3,12,6,2,11,Alto,Entre 26 y 45,10+,3
23,21,0,Rarely,391,Research & Development,15,2,Life Sciences,30,3,Male,96,3,1,Research Scientist,4,Single,1232.0,19281.0,1,0,14,3,4,0,0,6,3,0,0,0,0,Bajo,Menores 25,0-2,2
24,34,1,Rarely,699,Research & Development,6,1,Medical,31,2,Male,83,3,1,Research Scientist,1,Single,2960.0,17102.0,2,0,11,3,3,0,8,2,3,4,2,1,3,Medio,Entre 26 y 45,3-5,3
25,53,0,Rarely,1282,Research & Development,5,3,Unknown,32,3,Female,58,3,5,Manager,3,Divorced,19094.0,10735.0,4,0,11,3,4,1,26,3,2,14,13,4,8,Alto,A partir de 45,10+,2
26,32,1,Frequently,1125,Research & Development,16,1,Life Sciences,33,2,Female,72,1,1,Research Scientist,1,Single,3919.0,4681.0,1,1,22,4,2,0,10,5,3,10,2,6,7,Medio,Entre 26 y 45,10+,7
27,42,0,Rarely,691,Sales,8,4,Marketing,35,3,Male,48,3,2,Sales Executive,2,Married,6825.0,21173.0,0,0,11,3,4,1,10,2,3,9,7,4,2,Medio,Entre 26 y 45,6-9,2
28,44,0,Rarely,477,Research & Development,7,4,Medical,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248.0,2094.0,3,0,14,3,4,1,24,4,3,22,6,5,17,Medio,Entre 26 y 45,10+,1
29,46,0,Rarely,705,Sales,2,4,Marketing,38,2,Female,83,3,5,Manager,1,Single,18947.0,22822.0,3,0,12,3,4,0,22,2,2,2,2,2,4,Alto,A partir de 45,0-2,5
30,33,0,Rarely,924,Research & Development,2,3,Medical,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496.0,6670.0,4,0,11,3,4,0,7,3,3,1,1,0,0,Medio,Entre 26 y 45,0-2,1
31,44,0,Rarely,1459,Research & Development,10,4,Other,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465.0,19121.0,2,1,13,3,4,0,9,5,4,4,2,1,3,Medio,Entre 26 y 45,3-5,2
32,30,0,Rarely,125,Research & Development,9,2,Medical,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206.0,16117.0,1,0,13,3,1,0,10,5,3,10,0,1,8,Medio,Entre 26 y 45,10+,2
33,39,1,Rarely,895,Sales,5,3,Technical Degree,42,4,Male,56,3,2,Sales Representative,4,Married,2086.0,3335.0,3,0,14,3,3,1,19,6,4,1,0,0,4,Medio,Entre 26 y 45,0-2,1
34,24,1,Rarely,813,Research & Development,1,3,Medical,45,2,Male,61,3,1,Research Scientist,4,Married,2293.0,3020.0,2,1,16,3,1,1,6,2,2,2,0,2,0,Medio,Menores 25,0-2,7
35,43,0,Rarely,1273,Research & Development,2,2,Unknown,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645.0,21923.0,1,0,12,3,4,2,6,3,2,5,3,1,4,Medio,Entre 26 y 45,3-5,2
36,50,1,Rarely,869,Sales,3,2,Marketing,47,1,Male,86,2,1,Sales Representative,3,Married,2683.0,3810.0,1,1,14,3,3,0,3,2,3,3,2,0,2,Medio,A partir de 45,3-5,3
37,35,0,Rarely,890,Sales,2,3,Marketing,49,4,Female,97,3,1,Sales Representative,4,Married,2014.0,9687.0,1,0,13,3,1,0,2,3,3,2,2,2,2,Medio,Entre 26 y 45,0-2,2
38,36,0,Rarely,852,Research & Development,5,4,Life Sciences,51,2,Female,82,2,1,Research Scientist,1,Married,3419.0,13072.0,9,1,14,3,4,1,6,3,4,1,1,0,0,Medio,Entre 26 y 45,0-2,6
39,33,0,Frequently,1141,Sales,1,3,Life Sciences,52,3,Female,42,4,2,Sales Executive,1,Married,5376.0,3193.0,2,0,19,3,1,2,10,3,3,5,3,1,3,Medio,Entre 26 y 45,3-5,4
40,35,0,Rarely,464,Research & Development,4,2,Other,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951.0,10910.0,1,0,12,3,3,1,1,3,3,1,0,0,0,Medio,Entre 26 y 45,0-2,1
41,27,0,Rarely,1240,Research & Development,2,4,Life Sciences,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341.0,19715.0,1,0,13,3,4,1,1,6,3,1,0,0,0,Medio,Entre 26 y 45,0-2,3
42,26,1,Rarely,1357,Research & Development,25,3,Life Sciences,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293.0,10558.0,1,0,12,3,3,0,1,2,2,1,0,0,1,Medio,Entre 26 y 45,0-2,4
43,27,0,Frequently,994,Sales,8,3,Life Sciences,56,4,Male,37,3,3,Sales Executive,3,Single,8726.0,2975.0,1,0,15,3,4,0,9,0,3,9,8,1,4,Medio,Entre 26 y 45,6-9,0
44,30,0,Frequently,721,Research & Development,1,2,Medical,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011.0,10781.0,1,0,23,4,4,0,12,2,3,12,8,3,7,Medio,Entre 26 y 45,10+,0
45,41,1,Rarely,1360,Research & Development,12,3,Technical Degree,58,2,Female,49,3,5,Research Director,3,Married,19545.0,16280.0,1,0,12,3,4,0,23,0,3,22,15,15,8,Alto,Entre 26 y 45,10+,1
46,34,0,Non-Travel,1065,Research & Development,23,4,Marketing,60,2,Male,72,3,2,Sales Executive,3,Single,4568.0,10034.0,0,0,20,4,3,0,10,2,3,9,5,8,7,Medio,Entre 26 y 45,6-9,1
47,37,0,Rarely,408,Research & Development,19,2,Life Sciences,61,2,Male,73,3,1,Research Scientist,2,Married,3022.0,10227.0,4,0,21,4,1,0,8,1,3,1,0,0,0,Medio,Entre 26 y 45,0-2,6
48,46,0,Frequently,1211,Sales,5,4,Marketing,62,1,Male,98,3,2,Sales Executive,4,Unknown,5772.0,20445.0,4,1,21,4,3,0,14,4,3,9,6,0,8,Medio,A partir de 45,6-9,3
49,35,0,Rarely,1229,Research & Development,8,1,Life Sciences,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269.0,4892.0,1,0,19,3,4,0,1,2,3,1,0,0,1,Medio,Entre 26 y 45,0-2,1
50,48,1,Rarely,626,Research & Development,1,2,Life Sciences,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381.0,19294.0,9,1,13,3,4,0,23,2,3,1,0,0,0,Medio,A partir de 45,0-2,4
51,28,1,Rarely,1434,Research & Development,5,4,Technical Degree,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441.0,11179.0,1,1,13,3,3,0,2,3,2,2,2,2,2,Medio,Entre 26 y 45,0-2,4
52,44,0,Rarely,1488,Sales,1,5,Marketing,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454.0,4009.0,5,1,21,4,3,1,9,2,2,4,3,1,4,Medio,Entre 26 y 45,3-5,7
53,35,0,Non-Travel,1097,Research & Development,11,2,Medical,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884.0,8302.0,2,1,13,3,3,1,10,3,3,4,0,2,3,Medio,Entre 26 y 45,3-5,4
54,26,0,Rarely,1443,Sales,23,3,Marketing,72,3,Female,47,2,2,Sales Executive,4,Married,4157.0,21436.0,7,1,19,3,3,1,5,2,2,2,2,0,0,Medio,Entre 26 y 45,0-2,4
55,33,0,Frequently,515,Research & Development,1,2,Life Sciences,73,1,Female,98,3,3,Research Director,4,Single,13458.0,15146.0,1,1,12,3,3,0,15,1,3,15,14,8,12,Alto,Entre 26 y 45,10+,3
56,35,0,Frequently,853,Sales,18,5,Life Sciences,74,2,Male,71,3,3,Sales Executive,1,Married,9069.0,11031.0,1,0,22,4,4,1,9,3,2,9,8,1,8,Medio,Entre 26 y 45,6-9,5
57,35,0,Rarely,1142,Research & Development,23,4,Medical,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014.0,16002.0,3,1,15,3,3,1,4,3,3,2,2,2,4,Medio,Entre 26 y 45,0-2,4
58,31,0,Rarely,655,Research & Development,7,4,Life Sciences,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915.0,9528.0,3,0,22,4,4,1,10,3,2,7,7,1,7,Medio,Entre 26 y 45,6-9,2
59,37,0,Rarely,1115,Research & Development,1,4,Life Sciences,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993.0,2689.0,1,0,18,3,3,1,7,3,4,7,5,0,7,Medio,Entre 26 y 45,6-9,1
60,32,0,Rarely,427,Research & Development,1,3,Medical,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162.0,10877.0,1,0,22,4,2,1,9,3,3,9,8,7,8,Medio,Entre 26 y 45,6-9,3
61,38,0,Frequently,653,Research & Development,29,5,Life Sciences,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406.0,5456.0,1,0,11,3,4,0,10,2,3,10,3,9,9,Medio,Entre 26 y 45,10+,0
62,50,0,Rarely,989,Research & Development,7,2,Medical,80,2,Female,43,2,5,Research Director,3,Divorced,18740.0,16701.0,5,1,12,3,4,1,29,2,2,27,3,13,8,Alto,A partir de 45,10+,5
63,36,0,Rarely,1435,Sales,25,3,Life Sciences,81,1,Female,99,3,3,Sales Executive,3,Single,7637.0,2354.0,7,0,11,3,4,0,28,3,2,21,16,7,9,Medio,Entre 26 y 45,10+,3
64,36,0,Rarely,1223,Research & Development,8,3,Technical Degree,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096.0,8202.0,1,0,13,3,2,3,17,2,3,17,14,12,8,Medio,Entre 26 y 45,10+,2
65,55,0,Rarely,836,Research & Development,8,3,Medical,84,4,Female,33,3,4,Manager,3,Divorced,14756.0,19730.0,2,1,14,3,3,3,21,2,3,5,0,0,2,Alto,A partir de 45,3-5,2
66,36,0,Frequently,1195,Research & Development,11,3,Life Sciences,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499.0,22656.0,1,0,13,3,3,0,6,3,3,6,5,0,3,Medio,Entre 26 y 45,6-9,3
67,45,0,Rarely,1339,Research & Development,7,3,Life Sciences,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724.0,18787.0,2,0,17,3,3,1,25,2,3,1,0,0,0,Medio,Entre 26 y 45,0-2,4
68,35,0,Frequently,664,Research & Development,1,3,Medical,88,2,Male,79,3,1,Research Scientist,1,Married,2194.0,5868.0,4,0,13,3,4,1,5,2,2,3,2,1,2,Medio,Entre 26 y 45,3-5,5
69,36,1,Rarely,318,Research & Development,9,3,Medical,90,4,Male,79,2,1,Research Scientist,3,Married,3388.0,21777.0,0,1,17,3,1,1,2,0,2,1,0,0,4,Medio,Entre 26 y 45,0-2,7
70,59,0,Frequently,1225,Sales,1,1,Life Sciences,91,1,Female,57,2,2,Sales Executive,3,Single,5473.0,24668.0,7,0,11,3,4,0,20,2,2,4,3,1,4,Medio,A partir de 45,3-5,3
71,29,0,Rarely,1328,Research & Development,2,3,Life Sciences,94,3,Male,76,3,1,Research Scientist,2,Unknown,2703.0,4956.0,0,0,23,4,4,1,6,3,3,5,4,0,4,Medio,Entre 26 y 45,3-5,2
72,31,0,Rarely,1082,Research & Development,1,4,Medical,95,3,Male,87,3,1,Research Scientist,3,Single,2501.0,18775.0,1,0,17,3,2,0,1,4,3,1,1,1,0,Medio,Entre 26 y 45,0-2,3
73,32,0,Rarely,548,Research & Development,1,3,Life Sciences,96,2,Male,66,3,2,Research Scientist,2,Married,6220.0,7346.0,1,0,17,3,2,2,10,3,3,10,4,0,9,Medio,Entre 26 y 45,10+,5
74,36,0,Rarely,132,Research & Development,6,3,Life Sciences,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038.0,22002.0,3,0,12,3,2,0,5,3,3,1,0,0,0,Medio,Entre 26 y 45,0-2,4
75,31,0,Rarely,746,Research & Development,8,4,Life Sciences,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424.0,20682.0,1,0,23,4,4,0,11,2,3,11,7,1,8,Medio,Entre 26 y 45,10+,0
76,35,0,Rarely,776,Sales,1,4,Marketing,100,3,Male,32,2,2,Sales Executive,1,Single,4312.0,23016.0,0,0,14,3,2,0,16,2,3,15,13,2,8,Medio,Entre 26 y 45,10+,4
77,45,0,Rarely,193,Research & Development,6,4,Other,101,4,Male,52,3,3,Research Director,1,Married,13245.0,15067.0,4,0,14,3,2,0,17,3,4,0,0,0,0,Alto,Entre 26 y 45,0-2,5
78,37,0,Rarely,397,Research & Development,7,4,Medical,102,1,Male,30,3,3,Research Director,3,Single,13664.0,25258.0,4,0,13,3,1,0,16,3,4,5,2,0,4,Alto,Entre 26 y 45,3-5,3
79,46,0,Rarely,945,Human Resources,5,2,Medical,103,2,Male,80,3,2,Human Resources,2,Divorced,5021.0,10425.0,8,1,22,4,4,1,16,3,3,4,2,0,2,Medio,A partir de 45,3-5,5
80,30,0,Rarely,852,Research & Development,1,1,Life Sciences,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126.0,15998.0,1,1,12,3,3,2,10,1,2,10,8,3,0,Medio,Entre 26 y 45,10+,4
81,35,0,Rarely,1214,Research & Development,1,3,Medical,105,2,Male,30,2,1,Research Scientist,3,Single,2859.0,26278.0,1,0,18,3,1,0,6,3,3,6,4,0,4,Medio,Entre 26 y 45,6-9,3
82,55,0,Rarely,111,Sales,1,2,Life Sciences,106,1,Male,70,3,3,Sales Executive,4,Unknown,10239.0,18092.0,3,0,14,3,4,1,24,4,3,1,0,1,0,Medio,A partir de 45,0-2,2
83,38,0,Non-Travel,573,Research & Development,6,3,Medical,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329.0,15717.0,7,1,12,3,4,3,17,3,3,13,11,1,9,Medio,Entre 26 y 45,10+,3
84,34,0,Rarely,1153,Research & Development,1,2,Medical,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325.0,17736.0,1,0,15,3,3,0,5,2,3,5,2,1,3,Medio,Entre 26 y 45,3-5,3
85,56,0,Rarely,1400,Research & Development,7,3,Life Sciences,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260.0,21698.0,4,0,11,3,1,0,37,3,2,6,4,0,2,Medio,A partir de 45,6-9,4
86,23,0,Rarely,541,Sales,2,1,Technical Degree,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322.0,9518.0,3,0,13,3,3,1,3,3,3,0,0,0,0,Medio,Menores 25,0-2,3
87,51,0,Rarely,432,Research & Development,9,4,Life Sciences,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075.0,18725.0,3,0,23,4,2,2,10,4,3,4,2,0,3,Medio,A partir de 45,3-5,2
88,30,0,Rarely,288,Research & Development,2,3,Life Sciences,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152.0,15830.0,1,0,19,3,1,3,11,3,3,11,10,10,8,Medio,Entre 26 y 45,10+,2
89,46,1,Rarely,669,Sales,9,2,Medical,118,3,Male,64,2,3,Sales Executive,4,Single,9619.0,13596.0,1,0,16,3,4,0,9,3,3,9,8,4,7,Medio,A partir de 45,6-9,0
90,40,0,Frequently,530,Research & Development,1,4,Life Sciences,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503.0,14115.0,1,0,22,4,4,1,22,3,2,22,3,11,11,Alto,Entre 26 y 45,10+,4
91,36,0,Rarely,632,Sales,21,4,Marketing,120,3,Male,71,3,2,Sales Executive,4,Single,5441.0,8423.0,0,1,22,4,4,0,11,2,1,10,7,1,0,Medio,Entre 26 y 45,10+,4
92,30,0,Rarely,1334,Sales,4,2,Medical,121,3,Female,63,2,2,Sales Executive,2,Divorced,5209.0,19760.0,1,1,12,3,2,3,11,4,2,11,8,2,7,Medio,Entre 26 y 45,10+,8
93,46,0,Frequently,638,Research & Development,1,3,Medical,124,3,Male,40,2,3,Healthcare Representative,1,Married,10673.0,3142.0,2,1,13,3,3,1,21,5,2,10,9,9,5,Medio,A partir de 45,10+,6
94,32,0,Rarely,1093,Sales,6,4,Medical,125,2,Male,87,3,2,Sales Executive,3,Single,5010.0,24301.0,1,0,16,3,1,0,12,0,3,11,8,5,7,Medio,Entre 26 y 45,10+,3
95,54,0,Rarely,1217,Research & Development,2,4,Technical Degree,126,1,Female,60,3,3,Research Director,3,Married,13549.0,24001.0,9,0,12,3,1,1,16,3,1,4,3,0,3,Alto,A partir de 45,3-5,5
96,24,0,Rarely,1353,Sales,3,2,Other,128,1,Female,33,3,2,Sales Executive,3,Married,4999.0,17519.0,0,0,21,4,1,1,4,2,2,3,2,0,2,Medio,Menores 25,3-5,5
97,36,0,Non-Travel,120,Sales,4,3,Medical,129,2,Male,43,3,2,Sales Executive,3,Married,4221.0,8863.0,1,0,15,3,2,0,5,3,4,5,4,0,4,Medio,Entre 26 y 45,3-5,3
98,58,0,Rarely,682,Research & Development,10,4,Medical,131,4,Male,37,3,4,Sales Executive,3,Single,13872.0,24409.0,0,0,13,3,3,0,38,1,2,37,10,1,8,Alto,A partir de 45,10+,2
99,44,0,Non-Travel,489,Research & Development,23,3,Medical,132,2,Male,67,3,2,Laboratory Technician,2,Married,2042.0,25043.0,4,0,12,3,3,1,17,3,4,3,2,1,2,Medio,Entre 26 y 45,3-5,3
100,37,1,Rarely,807,Human Resources,6,4,Human Resources,133,3,Male,63,3,1,Human Resources,1,Unknown,2073.0,23648.0,4,0,22,4,4,0,7,3,3,3,2,0,2,Medio,Entre 26 y 45,3-5,2
101,32,0,Rarely,827,Research & Development,1,1,Life Sciences,134,4,Male,71,3,1,Research Scientist,1,Single,2956.0,15178.0,1,0,13,3,4,0,1,2,3,1,0,0,0,Medio,Entre 26 y 45,0-2,3
102,20,1,Frequently,871,Research & Development,6,3,Life Sciences,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926.0,19783.0,1,1,18,3,2,0,1,3,3,1,0,1,4,Medio,Menores 25,0-2,5
103,34,0,Rarely,665,Research & Development,6,4,Other,138,1,Female,41,3,2,Research Scientist,3,Single,4809.0,12482.0,1,0,14,3,3,0,16,3,3,16,13,2,10,Medio,Entre 26 y 45,10+,1
104,37,0,Non-Travel,1040,Research & Development,2,2,Life Sciences,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163.0,15850.0,5,0,14,3,4,1,17,2,4,1,0,0,4,Medio,Entre 26 y 45,0-2,1
105,59,0,Non-Travel,1420,Human Resources,2,4,Human Resources,140,3,Female,32,2,5,Manager,4,Married,18844.0,21922.0,9,0,21,4,4,1,30,3,3,3,2,2,2,Alto,A partir de 45,3-5,0
106,50,0,Frequently,1115,Research & Development,1,3,Life Sciences,141,1,Female,73,3,5,Research Director,2,Married,18172.0,9755.0,3,1,19,3,1,0,28,1,2,8,3,0,7,Alto,A partir de 45,6-9,9
107,25,1,Rarely,240,Sales,5,3,Marketing,142,3,Male,46,2,2,Sales Executive,3,Single,5744.0,26959.0,1,1,11,3,4,0,6,1,3,6,4,0,3,Medio,A partir de 45,6-9,2
108,25,0,Rarely,1280,Research & Development,7,1,Medical,143,4,Male,64,2,1,Research Scientist,4,Married,2889.0,26897.0,1,0,11,3,3,2,2,2,3,2,2,2,1,Medio,A partir de 45,0-2,0
109,22,0,Rarely,534,Research & Development,15,3,Medical,144,2,Female,59,3,1,Laboratory Technician,4,Single,2871.0,23785.0,1,0,15,3,3,0,1,5,3,0,0,0,0,Medio,Menores 25,0-2,2
110,51,0,Frequently,1456,Research & Development,1,4,Medical,145,1,Female,30,2,3,Healthcare Representative,1,Single,7484.0,25796.0,3,0,20,4,3,0,23,3,2,13,12,12,8,Medio,A partir de 45,10+,5
111,36,1,Frequently,658,Research & Development,7,3,Life Sciences,147,1,Male,66,1,2,Laboratory Technician,3,Single,6074.0,22887.0,1,1,24,4,4,0,9,3,3,9,7,0,6,Medio,Entre 26 y 45,6-9,3
112,54,0,Rarely,142,Human Resources,26,3,Human Resources,148,4,Female,30,4,4,Manager,4,Single,17328.0,13871.0,2,1,12,3,3,0,23,3,3,5,3,4,4,Alto,A partir de 45,3-5,2
113,24,0,Rarely,1127,Research & Development,18,1,Life Sciences,150,2,Male,52,3,1,Laboratory Technician,3,Married,2774.0,13257.0,0,0,12,3,3,1,6,2,3,5,3,1,2,Medio,Menores 25,3-5,1
114,34,0,Rarely,1031,Research & Development,6,4,Unknown,151,3,Female,45,2,2,Research Scientist,2,Divorced,4505.0,15000.0,6,0,15,3,3,1,12,3,3,1,0,0,0,Medio,Entre 26 y 45,0-2,3
115,37,0,Rarely,1189,Sales,3,3,Life Sciences,152,3,Male,87,3,3,Sales Executive,4,Single,7428.0,14506.0,2,0,12,3,1,0,12,3,3,5,3,1,3,Medio,Entre 26 y 45,3-5,2
116,34,0,Rarely,1354,Research & Development,5,3,Medical,153,3,Female,45,2,3,Manager,1,Single,11631.0,5615.0,2,0,12,3,4,0,14,6,3,11,10,5,8,Alto,Entre 26 y 45,10+,2
117,36,0,Frequently,1467,Sales,11,2,Technical Degree,154,2,Female,92,3,3,Sales Executive,4,Married,9738.0,22952.0,0,0,14,3,3,1,10,6,3,9,7,2,8,Medio,Entre 26 y 45,6-9,1
118,36,0,Rarely,922,Research & Development,3,2,Life Sciences,155,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835.0,2561.0,5,0,22,4,1,1,7,2,3,1,0,0,0,Medio,Entre 26 y 45,0-2,4
119,43,0,Frequently,394,Sales,26,2,Life Sciences,158,3,Male,92,3,4,Manager,4,Unknown,16959.0,19494.0,1,1,12,3,4,2,25,3,4,25,12,4,12,Alto,Entre 26 y 45,10+,2
120,36,0,Frequently,1312,Research & Development,23,3,Life Sciences,159,1,Male,96,1,1,Research Scientist,3,Divorced,2613.0,22310.0,1,0,25,4,3,3,10,2,2,10,7,0,4,Medio,Entre 26 y 45,10+,3
121,33,0,Non-Travel,750,Sales,22,2,Marketing,160,3,Male,95,3,2,Sales Executive,2,Married,6146.0,15480.0,0,0,13,3,1,1,8,2,4,7,7,0,7,Medio,Entre 26 y 45,6-9,4
